year	dead	missing	deadmissing	survivors	lat	lon	route
2019	1		1		26.143064684377	 -98.330164834268	
2019	1		1		26.217242152142	 -98.455393500959	
2019	1		1	2	35.384524413151	 -1.278253990517	Western Mediterranean
2019	2		2		31.667101100000	 -106.426767800000	
2019	1		1		19.705606860591	 -99.174764262762	
2019	1		1		28.741004209104	 -100.507503434180	
2019	1		1		27.496386435717	 -99.522521470236	
2019	1		1		36.334378214124	 0.715927412066	Western Mediterranean
2019	1		1	106	32.638272650604	 14.273579120636	Central Mediterranean
2019	1		1		17.932600658549	 -94.905738830566	
2019	1		1	2	35.398647116844	 -1.389655987849	Western Mediterranean
2019	2		2	141	32.980238100921	 13.179283824044	Central Mediterranean
2019		117	117	3	34.177488404634	 14.107902221177	Central Mediterranean
2019	1		1	53	37.283283323213	 27.104012036372	Eastern Mediterranean
2019		53	53	1	35.683709040408	 -3.185250605342	Western Mediterranean
2019		1	1		26.258109878807	 -98.596733869797	
2019	1		1		29.063937500000	 -100.663562500000	
2019	1		1		35.289594291265	 -2.933496506173	Western Mediterranean
2019	1		1		19.178049100000	 -96.128842600000	
2019		2	2		27.478392338088	 -99.479276945846	
2019	10		10		31.210755489725	 16.588350626388	Central Mediterranean
2019	1		1	40	37.857359600378	 27.167936354123	Eastern Mediterranean
2019	1		1		28.730727706150	 -100.563445215960	
2019	1		1		25.438323400000	 -100.973678000000	
2019	5		5		31.220020736471	 16.567751261154	Central Mediterranean
2019	1		1	100	18.329901676413	 -95.812964294797	
2019	1		1	6	35.261606842877	 -2.901902411860	Western Mediterranean
2019	1		1		49.232567558821	 -0.290652339042	
2019	2		2		31.224587793151	 16.529299112716	Central Mediterranean
2019	1		1		32.057499000000	 -111.666072500000	Central America to US
2019	1		1		36.685755388762	 -2.777835705707	Western Mediterranean
2019	1		1		36.485367400000	 -4.738263000000	Western Mediterranean
2019	1		1		2.352686000000	 -76.683352000000	
2019	1		1	67	35.886028764776	 -3.811126192952	Western Mediterranean
2019	1		1		36.184741288501	 -5.915458663672	Western Mediterranean
2019	6		6		31.208814747402	 16.594403365833	Central Mediterranean
2018	1		1		32.276924900000	 -112.859884600000	Central America to US
2018	2		2	9	26.830437500000	 -79.525312500000	
2018	14		14	12	-6.840928719012	 37.626193558523	
2018		7	7	1	34.869024451220	 34.492835772639	Eastern Mediterranean
2018	1		1		32.541882023698	 -117.133734140230	Central America to US
2018	1		1		27.028916988435	 -98.070345308930	
2018	1		1		43.609902506139	 13.456590016544	
2018	1		1		28.759006919815	 -100.519348400100	Central America to US
2018	4		4	56	35.481680686032	 -3.342110714760	Western Mediterranean
2018		2	2	69	36.175539175051	 -3.432980466971	Western Mediterranean
2018		12	12		35.940386653024	 -5.940460712849	Western Mediterranean
2018	1		1		35.963071341506	 36.294640216232	
2018	1		1		35.914961693807	 -5.380634704776	Western Mediterranean
2018	1		1		36.010976380608	 36.291893634201	
2018	12	12	24	31	36.385858171134	 -2.625576919231	Western Mediterranean
2018	1		1		28.655830400381	 -100.480611280930	Central America to US
2018	1		1	56	35.862101496706	 -3.230474337214	Western Mediterranean
2018	8	12	20	9	36.656665744128	 1.229045427169	Western Mediterranean
2018	1		1		31.785528500000	 -111.466392500000	Central America to US
2018	1		1		45.121869068460	 19.213236824545	
2018	1		1		28.702360352070	 -100.511538546900	Central America to US
2018	1		1	58	36.174642255222	 -3.809567348437	Western Mediterranean
2018	8		8		37.074835893000	 8.724048757827	Central Mediterranean
2018	1		1		31.897189083031	 -106.439103643990	Central America to US
