type	lat	lon	name	desc
T	6.315610000	-10.807370000	Monrovia, Liberia - Bamako, Mali	1020 km, 16:40
T	6.311910000	-10.808690000		
T	6.310850000	-10.809060000		
T	6.310850000	-10.809060000		
T	6.310820000	-10.808950000		
T	6.310520000	-10.808060000		
T	6.310140000	-10.807030000		
T	6.310140000	-10.807030000		
T	6.309760000	-10.807150000		
T	6.309760000	-10.807150000		
T	6.309350000	-10.806030000		
T	6.309260000	-10.805800000		
T	6.309190000	-10.805680000		
T	6.309160000	-10.805600000		
T	6.308940000	-10.805210000		
T	6.308940000	-10.805210000		
T	6.307780000	-10.805620000		
T	6.307190000	-10.805830000		
T	6.307040000	-10.805880000		
T	6.306920000	-10.805920000		
T	6.306830000	-10.805960000		
T	6.306780000	-10.805980000		
T	6.306710000	-10.806000000		
T	6.306650000	-10.806010000		
T	6.306610000	-10.806010000		
T	6.306560000	-10.806010000		
T	6.306500000	-10.806010000		
T	6.306450000	-10.806000000		
T	6.306400000	-10.805990000		
T	6.306340000	-10.805970000		
T	6.306260000	-10.805930000		
T	6.306210000	-10.805890000		
T	6.306170000	-10.805850000		
T	6.306110000	-10.805780000		
T	6.305980000	-10.805620000		
T	6.305510000	-10.804810000		
T	6.304870000	-10.803710000		
T	6.304680000	-10.803390000		
T	6.304490000	-10.803110000		
T	6.304310000	-10.802860000		
T	6.304000000	-10.802510000		
T	6.303540000	-10.802000000		
T	6.303390000	-10.801770000		
T	6.303280000	-10.801580000		
T	6.303170000	-10.801350000		
T	6.303110000	-10.801250000		
T	6.303050000	-10.801160000		
T	6.302920000	-10.800990000		
T	6.302760000	-10.800800000		
T	6.302720000	-10.800760000		
T	6.302690000	-10.800750000		
T	6.302660000	-10.800740000		
T	6.302600000	-10.800720000		
T	6.302530000	-10.800700000		
T	6.302480000	-10.800700000		
T	6.302430000	-10.800720000		
T	6.302380000	-10.800740000		
T	6.302300000	-10.800770000		
T	6.302260000	-10.800790000		
T	6.302230000	-10.800800000		
T	6.302180000	-10.800810000		
T	6.302140000	-10.800800000		
T	6.302110000	-10.800790000		
T	6.302090000	-10.800780000		
T	6.302080000	-10.800760000		
T	6.302060000	-10.800740000		
T	6.302060000	-10.800720000		
T	6.302050000	-10.800680000		
T	6.302030000	-10.800580000		
T	6.302010000	-10.800420000		
T	6.301990000	-10.800350000		
T	6.301970000	-10.800290000		
T	6.301950000	-10.800220000		
T	6.301900000	-10.800080000		
T	6.301780000	-10.799860000		
T	6.301740000	-10.799770000		
T	6.301700000	-10.799690000		
T	6.301590000	-10.799390000		
T	6.301530000	-10.799250000		
T	6.301480000	-10.799160000		
T	6.301410000	-10.799080000		
T	6.301370000	-10.799030000		
T	6.301370000	-10.799030000		
T	6.301630000	-10.798800000		
T	6.301900000	-10.798520000		
T	6.302130000	-10.798290000		
T	6.302350000	-10.798110000		
T	6.302480000	-10.798000000		
T	6.302490000	-10.797990000		
T	6.302490000	-10.797990000		
T	6.302400000	-10.797950000		
T	6.302210000	-10.797850000		
T	6.302090000	-10.797790000		
T	6.301810000	-10.797610000		
T	6.301580000	-10.797430000		
T	6.301550000	-10.797410000		
