Date;N Transaction;Kw x Transaction;Kg/CO2e x Transaction;Kg Waste x Transaction;Months;Average Transaction daily;Monthly Transactions;Monthly electricity consumption (Kw);Carbon fooprint (Kg /CO2e);Waste (Kg)
02/07/17;196539,00;607,5000;288,56;0,0084;Jul 2017;223.858;6.939.586;4.215.798.252,0;2.002.486.820,7;58.431,3
05/07/17;237008;;;;Aug 2017;235.326;7.295.114;4.431.782.031,1;2.105.078.227,0;61.424,9
08/07/17;220835;;;;Sep 2017;236.709;7.101.270;4.314.021.525,0;2.049.142.471,2;59.792,7
11/07/17;265759;;;;Oct 2017;299.124;9.272.841;5.633.250.846,8;2.675.770.970,1;78.077,3
14/07/17;227903;;;;Nov 2017;308.397;9.251.916;5.620.538.970,0;2.669.732.881,0;77.901,1
17/07/17;230315;;;;Dec 2017;364.806;11.308.983;6.870.207.111,8;3.263.320.105,6;95.221,6
20/07/17;230199;;;;Jan 2018;281.390;8.723.084;5.299.273.750,9;2.517.133.224,0;73.448,4
23/07/17;181031;;;;Feb 2018;193.425;5.415.903;3.290.161.140,0;1.562.813.001,7;45.601,9
26/07/17;237853;;;;Mar 2018;184.460;5.718.266;3.473.846.716,5;1.650.062.894,7;48.147,8
29/07/17;211134;;;;Apr 2018;187.751;5.632.530;3.421.761.975,0;1.625.322.856,8;47.425,9
01/08/17;131875;;;;May 2018;197.426;6.120.217;3.718.031.993,2;1.766.049.896,2;51.532,2
04/08/17;235792;;;;Jun 2018;188.364;5.650.911;3.432.928.432,5;1.630.626.878,2;47.580,7
07/08/17;249002;;;;Jul 2018;213.222;6.609.891;4.015.508.964,8;1.907.350.233,5;55.655,3
10/08/17;257965;;;;Aug 2018;214.881;6.661.308;4.046.744.549,3;1.922.187.007,6;56.088,2
13/08/17;263310;;;;Sep 2018;229.587;6.887.610;4.184.223.075,0;1.987.488.741,6;57.993,7
16/08/17;274866;;;;Oct 2018;244.146;7.568.534;4.597.884.681,1;2.183.976.302,2;63.727,1
19/08/17;266832;;;;Nov 2018;267.389;8.021.682;4.873.171.815,0;2.314.736.557,9;67.542,6
22/08/17;196283;;;;Dec 2018;266.997;8.276.895;5.028.213.469,5;2.388.380.705,8;69.691,5
25/08/17;208169;;;;Jan 2019;298.922;9.266.591;5.629.454.214,8;2.673.967.585,5;78.024,7
28/08/17;223771;;;;Feb 2019;341.508;9.562.227;5.809.052.781,0;2.759.276.165,4;80.513,9
31/08/17;280724;;;;Mar 2019;303.301;9.402.340;5.711.921.732,3;2.713.139.317,0;79.167,7
03/09/17;195289;;;;Apr 2019;362.759;10.882.776;6.611.286.420,0;3.140.333.842,6;91.633,0
06/09/17;276225;;;;May 2019;380.059;11.781.835;7.157.464.884,0;3.399.766.365,3;99.203,1
09/09/17;217890;;;;Jun2019;359.371;11.140.495;6.767.850.591,0;3.214.701.179,5;93.803,0
12/09/17;256230;;;;;;;;;
15/09/17;292079;;;;;;;;;
18/09/17;218204;;;;;;;;;
21/09/17;255257;;;;;;;;;
24/09/17;185277;;;;;;;;;
27/09/17;257961;;;;;;;;;
30/09/17;212678;;;;;;;;;
03/10/17;282132;;;;;;;;;
06/10/17;283699;;;;;;;;;
