# value;Name;Date;PriceUSD;Supply Currency;Mrkt Cap
1;Bitcoin;01/01/17;997,3;16.077.261;16.033.166.929
2;Bitcoin;01/02/17;987,5;16.139.111;15.937.898.190
3;Bitcoin;01/03/17;1.228,5;16.191.699;19.890.848.403
4;Bitcoin;01/04/17;1.089,5;16.249.449;17.704.176.777
5;Bitcoin;01/05/17;1.436,9;16.305.149;23.429.544.485
6;Bitcoin;01/06/17;2.399,9;16.366.049;39.276.677.606
7;Bitcoin;01/07/17;2.412,4;16.421.861;39.615.542.859
8;Bitcoin;01/08/17;2.727,4;16.482.749;44.954.870.204
9;Bitcoin;01/09/17;4.918,2;16.538.136;81.337.302.684
10;Bitcoin;01/10/17;4.382,1;16.598.274;72.735.077.240
11;Bitcoin;01/11/17;6.726,4;16.658.824;112.054.108.123
12;Bitcoin;01/12/17;10.809,0;16.713.836;180.659.157.833
13;Bitcoin;01/01/18;13.464,7;16.776.349;225.887.722.581
14;Bitcoin;01/02/18;9.039,9;16.839.586;152.227.586.138
15;Bitcoin;01/03/18;10.923,6;16.894.261;184.546.671.785
16;Bitcoin;01/04/18;6.804,5;16.952.411;115.353.102.998
17;Bitcoin;01/05/18;9.072,2;17.009.986;154.317.464.332
18;Bitcoin;01/06/18;7.519,8;17.069.049;128.356.441.556
19;Bitcoin;01/07/18;6.361,4;17.126.305;108.947.319.053
20;Bitcoin;01/08/18;7.596,7;17.184.417;130.544.828.992
21;Bitcoin;01/09/18;7.192,4;17.244.467;124.028.288.534
22;Bitcoin;01/10/18;6.561,8;17.299.792;113.518.016.606
23;Bitcoin;01/11/18;6.343,0;17.354.480;110.079.075.092
24;Bitcoin;01/12/18;4.148,1;17.402.480;72.186.769.334
25;Bitcoin;01/01/19;3.808,1;17.457.480;66.480.140.227
26;Ripple;01/01/17;0,0;99.996.618.506;630.797.687
27;Ripple;01/02/17;0,0;99.995.962.082;652.107.984
28;Ripple;01/03/17;0,0;99.995.832.790;532.930.456
29;Ripple;01/04/17;0,0;99.995.347.772;2.257.981.618
30;Ripple;01/05/17;0,1;99.994.879.825;5.542.895.509
31;Ripple;01/06/17;0,3;99.994.651.614;33.530.846.132
32;Ripple;01/07/17;0,2;99.994.579.289;23.837.250.844
33;Ripple;01/08/17;0,2;99.994.521.510;17.697.857.456
34;Ripple;01/09/17;0,3;99.994.467.309;25.389.496.796
35;Ripple;01/10/17;0,2;99.993.307.219;20.396.879.918
36;Ripple;01/11/17;0,2;99.993.206.671;19.090.853.447
37;Ripple;01/12/17;0,2;99.993.100.364;24.827.149.845
38;Ripple;01/01/18;2,0;99.992.908.996;200.969.702.271
39;Ripple;01/02/18;0,9;99.992.641.189;94.127.291.333
40;Ripple;01/03/18;0,9;99.992.507.543;91.520.933.912
41;Ripple;01/04/18;0,5;99.992.382.673;47.859.043.980
42;Ripple;01/05/18;0,8;99.992.255.006;83.475.556.368
43;Ripple;01/06/18;0,6;99.991.961.107;62.020.738.453
44;Ripple;01/07/18;0,5;99.991.916.481;46.217.924.585
45;Ripple;01/08/18;0,4;99.991.878.973;44.678.879.920
46;Ripple;01/09/18;0,3;99.991.848.058;34.644.335.406
47;Ripple;01/10/18;0,6;99.991.815.926;57.272.938.172
48;Ripple;01/11/18;0,5;99.991.789.368;45.542.657.229
49;Ripple;01/12/18;0,4;99.991.758.007;36.798.440.519
50;Ripple;01/01/19;0,4;99.991.723.502;36.129.237.524
51;Ethereum;01/01/17;8,2;87.493.850;715.511.739
52;Ethereum;01/02/17;10,7;88.472.202;948.670.666
53;Ethereum;01/03/17;17,3;89.353.338;1.542.746.538
54;Ethereum;01/04/17;50,7;90.320.249;4.577.936.949
