Entity;Date (end only);Year (end only);Records;Organization type (as number);Organization type;Method (as number);Method;Data sensitivity (as number);Data sensitivity;Source 1;Source 2;Source 3;Source 4;Source 5;Source 6
Data Processors International (MasterCard, Visa, Discover Financial Services and American Express);2003-02-18;2003;8000000;3;finances;1;hacked;1;email addresses, online information;http://money.cnn.com/2003/02/18/technology/creditcards/;;;;;
AOL;2004-06-23;2004;92000000;5;technology;2;inside job;1;email addresses, online information;https://money.cnn.com/2004/06/23/technology/aol_spam/;http://www.msnbc.msn.com/id/8985989/#.UFcN8RgUwaA;;;;
Citigroup;2005-06-07;2005;3900000;3;finances;4;lost / stolen media;3;credit card information;https://www.nytimes.com/2005/06/07/business/personal-data-for-39-million-lost-in-transit.html;;;;;
CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express);2005-06-20;2005;40000000;3;finances;1;hacked;3;credit card information;https://web.archive.org/web/20120504165945/http://www.msnbc.msn.com/id/8260050/ns/technology_and_science-security/t/million-credit-cards-exposed/;https://www.cnet.com/news/credit-card-breach-exposes-40-million-accounts/;;;;
T-Mobile, Deutsche Telekom;2006-03-01;2006;17000000;7;media;4;lost / stolen media;1;email addresses, online information;https://www.darkreading.com/attacks-and-breaches/t-mobile-lost-17-million-subscribers-personal-data/d/d-id/1072658;;;;;
U.S. Department of Veteran Affairs;2006-05-01;2006;26500000;4;government;3;lost / stolen computer;2;Social Security numbers, personal details;http://gcn.com/Articles/2009/02/02/VA-data-breach-suit-settlement.aspx;;;;;
KDDI;2006-06-13;2006;4000000;7;media;1;hacked;1;email addresses, online information;http://www.computerworld.com/s/article/9001150/KDDI_suffers_massive_data_breach;;;;;
AOL;2006-08-07;2006;20000000;5;technology;5;accidentally published;1;email addresses, online information;https://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/;;;;;
TK / TJ Maxx;2007-03-28;2007;94000000;2;goods & services;1;hacked;3;credit card information;https://web.archive.org/web/20120430033707/http://www.msnbc.msn.com/id/17871485/ns/technology_and_science-security/t/tj-maxx-theft-believed-largest-hack-ever/;https://www.zdnet.com/article/wi-fi-hack-caused-tk-maxx-security-breach/;http://www.msnbc.msn.com/id/17871485/ns/technology_and_science-security/t/tj-maxx-theft-believed-largest-hack-ever/#.UFi-HaRYtmg;;;
Fidelity National Information Services;2007-07-27;2007;8500000;3;finances;2;inside job;3;credit card information;http://www.pcworld.com/article/135117/article.html;;;;;
TD Ameritrade;2007-09-14;2007;6300000;3;finances;1;hacked;1;email addresses, online information;https://web.archive.org/web/20160424153504/https://consumerist.com/2007/09/14/td-ameritrade-hacked-customer-data-compromised/;https://www.wired.com/threatlevel/2008/07/ameritrade-hack/;;;;
UK Revenue & Customs;2007-11-21;2007;25000000;4;government;4;lost / stolen media;1;email addresses, online information;http://news.bbc.co.uk/2/hi/uk_news/7103911.stm;;;;;
Dai Nippon Printing;2007-12-20;2007;8637405;2;goods & services;2;inside job;1;email addresses, online information;http://usatoday30.usatoday.com/tech/news/computersecurity/2007-12-30-data_n.htm;;;;;
Auction.co.kr;2008-02-26;2008;18600000;5;technology;1;hacked;3;credit card information;https://www.darkreading.com/attacks-breaches/hacker-steals-data-on-18m-auction-customers-in-south-korea/d/d-id/1129325;https://www.koreatimes.co.kr/www/news/biz/2010/03/123_63121.html;;;;
The Bank of New York Mellon;2008-02-27;2008;12500000;3;finances;4;lost / stolen media;3;credit card information;https://web.archive.org/web/20160308134258/http://www.wctv.tv/news/headlines/28132494.html?storySection=comments;;;;;
Hannaford Brothers Supermarket Chain;2008-03-10;2008;4200000;2;goods & services;1;hacked;3;credit card information;http://www.networkworld.com/article/2284998/lan-wan/details-emerging-on-hannaford-data-breach.html;;;;;
Ministry of Education (Chile);2008-05-12;2008;6000000;4;government;5;accidentally published;1;email addresses, online information;http://news.bbc.co.uk/2/hi/americas/7395295.stm;http://www.geek.com/articles/news/government-servers-in-chile-hacked-6-million-personal-records-made-public-20080514/;;;;
GS Caltex;2008-09-01;2008;11100000;10;infrastructure;2;inside job;2;Social Security numbers, personal details;https://www.identitytheftlabs.com/data-breaches/september-2008-data-breaches/;http://www.comparebusinessproducts.com/fyi/15-most-massive-data-breaches-history;;;;
Norwegian Tax Administration;2008-09-18;2008;3950000;4;government;5;accidentally published;2;Social Security numbers, personal details;http://www.healthcareitnews.com/news/hackers-hit-business-associate-swipe-phi-social-security-numbers;;;;;
CheckFree Corporation;2008-12-16;2008;5000000;3;finances;1;hacked;1;email addresses, online information;http://www.computerworld.com/s/article/9125078/CheckFree_warns_5_million_customers_after_hack;;;;;
Virginia Department of Health Professions;2009-04-30;2009;8257378;1;healthcare;1;hacked;4;email passwords, medical records;https://web.archive.org/web/20140508130121/http://www.idtheftcenter.org/images/breach/Breach_Report_2009.pdf;https://www.darkreading.com/attacks-and-breaches/virginia-health-data-potentially-held-hostage/d/d-id/1079193;;;;
Heartland;2009-08-24;2009;130000000;3;finances;1;hacked;3;credit card information;https://www.theguardian.com/technology/blog/2009/aug/24/hacking-law?INTCMP=SRCH;http://money.cnn.com/2012/03/30/technology/credit-card-data-breach/index.htm;;;;
National Archives and Records Administration (U.S. military veterans records);2009-10-01;2009;76000000;4;government;4;lost / stolen media;6;private or classified information;https://www.wired.com/threatlevel/2009/10/probe-targets-archives-handling-of-data-on-70-million-vets/;;;;;
RockYou!;2009-12-04;2009;32603388;8;entertainment;1;hacked;1;email addresses, online information;https://web.archive.org/web/20130925015630/http://techcrunch.com/2009/12/14/rockyou-hack-security-myspace-facebook-passwords/;;;;;
Sony PlayStation Network;2011-04-21;2011;77000000;8;entertainment;1;hacked;1;email addresses, online information;http://mashable.com/2011/05/31/sony-playstation-services-return/;;;;;
Sony Online Entertainment;2011-05-02;2011;24600000;8;entertainment;1;hacked;3;credit card information;http://www.computerworld.com/s/article/9216343/Sony_cuts_off_Sony_Online_Entertainment_service_after_hack;http://money.cnn.com/2011/05/10/technology/sony_hack_fallout/;;;;
NHS;2011-06-11;2011;8300000;1;healthcare;4;lost / stolen media;4;email passwords, medical records;https://www.silicon.co.uk/workspace/nhs-researchers-lose-laptop-with-8m-patients-records-31810;https://www.cnet.com/news/nhs-loses-records-of-8-million-patients-on-just-one-laptop/;;;;
Tricare;2011-09-01;2011;4901432;1;healthcare;3;lost / stolen computer;4;email passwords, medical records;http://www.databreaches.net/wp-content/uploads/SAIC_5092014.pdf;https://www.databreaches.net/court-dismisses-most-of-lawsuit-over-2011-tricaresaic-data-breach/;;;;
Steam;2011-11-10;2011;35000000;8;entertainment;1;hacked;3;credit card information;https://www.bbc.com/news/technology-15690187;;;;;
Nexon Korea Corp;2011-11-26;2011;13200000;8;entertainment;1;hacked;2;Social Security numbers, personal details;https://www.reuters.com/article/2011/11/26/us-korea-hacking-nexon-idUSTRE7AP09H20111126;;;;;
Sutter Medical Center;2011-11-30;2011;4243434;1;healthcare;3;lost / stolen computer;2;Social Security numbers, personal details;https://web.archive.org/web/20120717070248/http://www.simplysecurity.com/2011/11/30/sutter-health-sued-for-1-billion-following-data-breach/;;;;;
China Software Developer Network;2011-12-21;2011;6000000;5;technology;1;hacked;1;email addresses, online information;https://www.zdnet.com/article/chinese-hacker-arrested-for-leaking-6-million-logins/;;;;;
Tianya Club;2011-12-22;2011;28000000;6;social network;1;hacked;1;email addresses, online information;https://web.archive.org/web/20130920180354/https://www.globaltimes.cn/NEWS/tabid/99/ID/690011/More-users-data-hacked.aspx;https://www.databreaches.net/40-million-user-details-leaked-from-tianya-cn/;http://www.scmagazine.com.au/News/349585,28-million-clear-text-passwords-found-after-tianya65279-hack.aspx;;;
Chinese gaming websites (Duowan, 7K7K, 178.com);2011-12-22;2011;10000000;8;entertainment;1;hacked;1;email addresses, online information;http://www.ehackingnews.com/2011/12/hackers-compromised-38-million-chinese.html;;;;;
Zappos;2012-01-15;2012;24000000;2;goods & services;1;hacked;2;Social Security numbers, personal details;https://web.archive.org/web/20130602190204/http://blogs.zappos.com/securityemail;https://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/;;;;
Rambler.ru;2012-02-17;2012;98167935;5;technology;1;hacked;4;email passwords, medical records;https://arstechnica.com/security/2016/09/98-million-passwords-from-2012-breach-of-russias-yahoo-rambler-ru-leaked/;https://web.archive.org/web/20160909124042/https://www.leakedsource.com/blog/rambler;;;;
Global Payments;2012-04-02;2012;7000000;3;finances;1;hacked;3;credit card information;https://www.washingtonpost.com/business/technology/faq-the-global-payments-hack/2012/04/02/gIQAIHLLrS_story.html;;;;;
South Carolina Government;2012-04-10;2012;6400000;1;healthcare;2;inside job;4;email passwords, medical records;https://www.thestate.com/latest-news/article14402498.html;;;;;
Office of the Texas Attorney General;2012-04-26;2012;6500000;4;government;5;accidentally published;2;Social Security numbers, personal details;http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/;;;;;
LinkedIn, eHarmony, Last.fm;2012-06-06;2012;8000000;6;social network;5;accidentally published;1;email addresses, online information;https://arstechnica.com/security/2012/06/8-million-leaked-passwords-connected-to-linkedin/;https://www.cnet.com/news/what-the-password-leaks-mean-to-you-faq/;;;;
Gamigo;2012-07-23;2012;8000000;8;entertainment;1;hacked;1;email addresses, online information;https://www.forbes.com/sites/andygreenberg/2012/07/23/eight-million-passwords-spilled-from-gaming-site-gamigo-months-after-breach/;;;;;
KT Corporation;2012-07-29;2012;8700000;7;media;1;hacked;2;Social Security numbers, personal details;https://www.koreatimes.co.kr/www/news/biz/2012/07/113_116143.html;http://news.cnet.com/2215-83/hackers-accused-of-stealing-data-from-9m-korean-mobile-users/;;;;
Massive American business hack;2012-07-31;2012;160000000;3;finances;1;hacked;5;full bank account details;https://krebsonsecurity.com/2013/07/hacker-ring-stole-160-million-credit-cards/#more-21899;http://krebsonsecurity.com/wp-content/uploads/2013/07/DVKRK-Indictment.pdf;https://web.archive.org/web/20180519223445/http://www.nydailynews.com/news/national/russians-ukrainian-charged-largest-hacking-spree-u-s-history-article-1.1408948;https://www.justice.gov/opa/pr/five-indicted-new-jersey-largest-known-data-breach-conspiracy;;
Dropbox;2012-08-01;2012;68648009;2;goods & services;1;hacked;1;email addresses, online information;https://web.archive.org/web/20161114220959/http://www.darkreading.com:80/risk-management/dropbox-admits-hack-adds-more-security-features/d/d-id/1105602;;;;;
Blizzard Entertainment;2012-08-09;2012;14000000;8;entertainment;1;hacked;2;Social Security numbers, personal details;https://web.archive.org/web/20120810025211/http://us.blizzard.com/en-us/securityupdate.html;http://www.darkreading.com/attacks-and-breaches/blizzard-battlenet-security-breached-passwords-accessed/d/d-id/1105740?;;;;
BlueToad (Apple);2012-09-10;2012;12367232;5;technology;5;accidentally published;2;Social Security numbers, personal details;https://www.cnet.com/news/udid-leak-source-idd-bluetoad-mobile-firm-says-it-was-hacked/;;;;;
Greek government;2012-11-22;2012;9000000;4;government;1;hacked;2;Social Security numbers, personal details;https://www.wired.co.uk/news/archive/2012-11/22/greece-id-theft;;;;;
Evernote;2013-03-04;2013;50000000;2;goods & services;1;hacked;1;email addresses, online information;https://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked;http://www.digitaltrends.com/mobile/evernote-hack-50-million-users-forced-to-reset-passwords/;;;;
Living Social;2013-04-27;2013;50000000;5;technology;1;hacked;1;email addresses, online information;http://nakedsecurity.sophos.com/2013/04/27/livingsocial-hacked-50-million-affected/;http://bits.blogs.nytimes.com/2013/04/26/living-social-hack-exposes-data-for-50-million-customers/;;;;
Tumblr;2013-05-13;2013;65469298;6;social network;1;hacked;1;email addresses, online information;https://www.vice.com/en_us/article/8q88k5/hackers-stole-68-million-passwords-from-tumblr-new-analysis-reveals;;;;;
Yahoo Japan;2013-05-16;2013;22000000;5;technology;1;hacked;1;email addresses, online information;https://www.reuters.com/article/us-yahoojapan-idUSBRE94G0P620130517;;;;;
Facebook;2013-06-21;2013;6000000;6;social network;5;accidentally published;1;email addresses, online information;https://www.facebook.com/notes/facebook-security/important-message-from-facebooks-white-hat-program/10151437074840766;;;;;
Yahoo;2013-07-01;2013;3000000000;5;technology;1;hacked;2;Social Security numbers, personal details;https://www.oath.com/press/yahoo-provides-notice-to-additional-users-affected-by-previously/?guccounter=1;https://www.nytimes.com/2017/10/03/technology/yahoo-hack-3-billion-users.html;;;;
Advocate Medical Group;2013-08-23;2013;4000000;1;healthcare;4;lost / stolen media;2;Social Security numbers, personal details;http://healthitsecurity.com/2013/08/27/advocate-medical-group-endures-massive-data-breach/;http://healthitsecurity.com/news/advocate-medical-group-endures-massive-data-breach;;;;
Adobe Systems;2013-11-07;2013;152000000;5;technology;1;hacked;5;full bank account details;https://www.theverge.com/2013/11/7/5078560/over-150-million-breached-records-from-adobe-hack-surface-online;https://www.zdnet.com/article/adobe-admits-2-9m-customer-accounts-have-been-compromised/;;;;
Target Corporation;2013-12-24;2013;110000000;2;goods & services;1;hacked;3;credit card information;https://web.archive.org/web/20131225012435/http://www.chicagotribune.com/news/sns-rt-us-target-breach-20131218,0,3434295.story;http://www.huffingtonpost.com/2013/12/19/target-hacked-customer-credit-card-data-accessed_n_4471672.html;;;;
SnapChat;2013-12-27;2013;4700000;6;social network;1;hacked;1;email addresses, online information;https://www.washingtonpost.com/news/the-switch/wp/2014/01/01/a-snapchat-security-breach-affects-4-6-million-users-did-snapchat-drag-its-feet-on-a-fix/;;;;;
Korea Credit Bureau;2014-01-19;2014;20000000;3;finances;2;inside job;5;full bank account details;http://www.securityweek.com/20-million-people-fall-victim-south-korea-data-leak;;;;;
Premera;2014-05-05;2014;11000000;1;healthcare;1;hacked;5;full bank account details;https://web.archive.org/web/20150317192340/http://www.premeraupdate.com/;;;;;
eBay;2014-05-21;2014;145000000;5;technology;1;hacked;2;Social Security numbers, personal details;https://www.washingtonpost.com/news/the-switch/wp/2014/05/21/ebay-asks-145-million-users-to-change-passwords-after-data-breach/;;;;;
Community Health Systems;2014-08-18;2014;4500000;1;healthcare;1;hacked;4;email passwords, medical records;http://money.cnn.com/2014/08/18/technology/security/hospital-chs-hack/;;;;;
UCLA Medical Center, Santa Monica;2014-09-01;2014;4500000;1;healthcare;1;hacked;4;email passwords, medical records;http://www.healthcareitnews.com/news/hackers-swipe-data-45m-ucla-health-system-massive-cyberattack;;;;;
