Post;Views post;Users;Comment;Likes;Value
1;120400; @miriamyouniquecar;nessun razzismo.... semplicemente spiega le BASI si arriva in REGOLA....ha ragione...provate ad andare in America poi vediamo;868;1
1;120400; @tikdjova;effettivamente tiktok è un posto adatto per Salvini;779;0
1;120400; @tarkus69;facci un favore  disinstalla questa applicazione;628;0
1;120400; @low_rens;qui non mi hai ancora bannato;741;0
1;120400; @anitacardillo;Ma lasciate un posto sicuro da tutto questo indottrinamento? BASTA!;404;0
1;120400; @nonsapevodiavere25anni;tik tok è la nuova generazione,  fresca  slegata dalla tossicità delle ideologie  ma aperta al confronto. libera e lgbt. #SalviniFlop imbarazzante.;106;0
1;120400; @bbcryy;Oddio pure qua ti devo trovare santo Dio;574;0
1;120400; @daisy4seokjinie;io aspetto il video dove ti trucchi da clown cioè da te stesso insomma;478;0
1;120400; @ehilucre;puntando sugli italiani con età media dai 10 ai 17 secondo voi non lo avremmo trovato anche qui? imbarazzante...😂;254;0
1;120400; @ilcollegio1982;Ossignor;330;0
1;120400; @il_tatoo_di_marta;te prego bloccami;174;0
1;120400; @emy_vito;RAGA SEGNALIAMOLO TUTTI;255;0
1;120400; @user213096190;E anche a quelle Russe. Fai tanto il patriota ma hai le mani in pasta dappertutto. Sennò al sud non avresti beccato manco mezzo voto.;255;0
1;120400; @stacazzodivita;sono lesbica scusa.;223;0
1;120400; @marco.vasi;Un’altra app da cancellare;101;0
1;120400; @iamshot;Pure qua bastaaaaa;135;0
1;120400; @achilli.giorgia;Prendete esempio voi di sinistra;72;1
1;120400; @jeeezuz;Bello fare il pagliaccio anche qui #forzakapitano;139;0
1;120400; @angelocao;Grazie Matteo sei riuscito a convincermi a scaricare il tiktok e lo uso solo per seguire il pagliaccio;73;0
1;120400; @jackborgognoni6;Grande Capitano.......onore e rispetto;6;1
1;120400; @martinabariaschi53;Sei una vergogna vergogna vergogna vergogna vergogna vergogna vergogna;62;0
1;120400; @mattiolodp_lmc.vision;Salvini vai a lavorare!!!!;76;0
1;120400; @boldrinssss;tranquillo che non ti appoggerà nessuno qua su tiktok;48;0
1;120400; @s.erenachiari;❌NO ALLA POLITICA SU TIK TOK❌;71;0
1;120400; @antosan2005nov;se fossi stato in loro mi sarei rifiutato di stringergli la mano;52;0
1;120400; @g.marco2008;forza Salvini;5;1
1;120400; @virginiadonno;onore a tutti i nostri eroi che ogni gg perdono la loro vita x gente inutile! ( vedesinultimo episodio vigili del fuoco)onore a voi che ci difendete!;4;1
1;120400; @ileg00;Onore a loro 😍❤🇮🇹;3;1
1;120400; @rusuacidtek;pure qua ti devo trovare..ebbasta!! ANTIFA per sempre!!;41;0
1;120400; @michaelgialappi;ONORE!;3;1
1;120400; @veronicasavoia84;Forse nn ha capito che i giovani di oggi nn sono come gli anziani rincoglioniti che ti seguono.Lasciali in pace e continua con la tua insulsa campagna;38;0
1;120400; @giuliiisss98;Esempio per tutti! @matteosalviniufficiale;4;1
1;120400; @matteoante97;La politica e i politici in generale dovrebbero stare fuori da tik tok 👍🏿;30;0
1;120400; @alessandrop1610;vuole intontire anche i 15enni  giustamente quando si andrà al voto avranno 18 anni......è tutto marketing per prendere voti;40;0
1;120400; @castelliluca;VIVA I FROCIII 😂😂🌈;58;0
1;120400; @andreanovara9;grande capitano;3;1
1;120400; @davide_troia_95;Qualche chiarimento sui rubli ce lo dai?;26;0
1;120400; @gubba77;Grande Matteo;3;1
1;120400; @sweet_mercy95;oddio anche qui sta [facewithrollingeyes];35;0
1;120400; @rahmaa_;basta mi sto stufando di mettere like a tutti i commenti😂;9;0
1;120400; @francesca9495;Mamma mia quanti comunisti in questa chatt. Salvini il numero UNO💪💚;23;1
1;120400; @s.weetcarolineee;gli manca tinder per fare propaganda e poi li ha tutti;32;0
1;120400; @maty_lde_;prima gli italiani🇮🇹;2;1
1;120400; @ambrogiovimercati6;Sul regolamento c’è scritto espressamente “NO POLITICA”;10;0
1;120400; @iolanda046;bravooo  sei un grande 👏💋❤;2;1
1;120400; @karlabonji;tra clown si va d’accordo 🤡🤝👮🏼‍♂;31;0
1;120400; @user12807870;dajeee Salvini prendi in mano la guida di questa Italia distrutta. E falla ripartire come meritiamo! Più meritocrazia;16;1
1;120400; @simonecatena43;Sempre onore 🖤🇮🇹✋[drool];15;1
1;120400; @sorayac06;Forza Salvini  forza la lega e soprattutto viva l'Italia e gli italiani ❤❤❤❤❤❤🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹;15;1
1;120400; @user4356193515219;Forza MATTEO SALVINI!!!!!!;10;1
2;144900; @sebastiantodor;Questa è un app composta in buona parte da ragazzini  non è il posto adatto a insegnare pregiudizi e razzismo;2227;0
2;144900; @marypage54;adesso posso insultare anche qui;1816;0
2;144900; @mandilesalvatore;non trovo giusto che si fa propaganda politica anche in un'applicazione per divertirsi basta Se sei così bravo passa ai fatti no pugnette;1275;0
2;144900; @itsnovh;tu non sai neanche che significa essere civili;936;0
2;144900; @kiarellik;Salvini e i suoi elettori → 🤡🤡🤡;748;0
2;144900; @salacca;aiuto no qui no lascia questo posto un posto civile  a differenza tua;547;0
2;144900; @martietude;Non auguro il dolore neanche alla peggiore persona su questo mondo  quindi ti auguro solo che il senso di colpa ti assalga fino alla morte.;472;0
2;144900; @luigi.nervo;Sei su facebook Sei su facebook  da @barbaracarmelitadurso e ora pure su Tik Tok... ma ogni tanto ti capita di passare anche in parlamento?;528;0
2;144900; @francioposa;Quella è l’Irlanda...;604;0
2;144900; @nericomio;E tu quando ci ritorni a quel paese????;250;0
2;144900; @cyar01;ma dio santo no  non anche qui;362;0
2;144900; @aomachecazzovoi;lui che parla di civiltà 🤡;159;0
2;144900; @k1m.bea;sei piu falso di mia madre quando mi dice ‘vieni qui che non ti faccio niente’;307;0
2;144900; @abnormal.ale;È un applicazione per ragazzi (molti minorenni) non mi sembra il caso di parlare di politica e manipolare il pensiero di molti bambini;261;0
2;144900; @gaiamacrì;LA SMETTI? BUFFONE;247;0
2;144900; @frasidiranjan;3..2..1.. via agli insulti!;204;0
2;144900; @sharonallia9303;Che bello posso insultarti anche qui☺;216;0
2;144900; @stacazzodivita;sono lesbica scusa.;232;0
2;144900; @edgycuck;un politico non dovrebbe stare su un app per bambini;207;0
2;144900; @elisabetta_boscaino;Qui su tiktok non avrai il tuo solito appoggio  qui non ci sono i vecchi per cui sei il kapitano1!1 qui ci sono giovani CON LE PALLE.;147;0
2;144900; @depr.ssed;ma chi scappa dalla guerra  sotto le bombe  secondo te la prima cosa a cui pensa sono i documenti? Manco tu li prenderesti se fossi in quelle situazio;111;0
2;144900; @iosonoriiick;Qualcuno segnali questo profilo;133;0
2;144900; @ammodellato;Forse riesci a prendere per i fondelli  quelli che come te hanno il cuore indurito. Qui siamo giovani con la speranza di fronte e con l'amore in petto;119;0
2;144900; @martietude;Il tuo arrivo qui rappresenta la pochezza che ti caratterizza da sempre  la bassezza al quale chi dovrebbe rappresentare il nostro paese é arrivato.;99;0
2;144900; @harleynell;Pure su tiktok NO. La maggior parte degli utenti sono BAMBINI/RAGAZZINI  lascia la tua BECERA politica fuori.;80;0
2;144900; @imfrenke;madooo ma sto vecchio pure qua sta;56;0
2;144900; @aomachecazzovoi;PORCODDUE SEGNALIAMO STO CLOWN;436;0
2;144900; @kisskiss4890;Disinstalla questa applicazione ti prego;60;0
2;144900; @whereiskekeskiwi;Non mi sembra l'app adatta per fare propaganda.;63;0
2;144900; @cosimoverardi;La politica italiana del 2019  signori e signore;57;0
2;144900; @annaku;CHIUDETE QUESTO PROFILOOOOOOOOOOOOOOOO;31;0
2;144900; @pietropuggioni;Non si può fare politica su tik tok  non credo sia un tema adeguato…;51;0
2;144900; @cxlesliex;Ti vedo ingrassato mattè;44;0
2;144900; @ggiuls.g;madonna ma io respiro la stessa aria di certi individui;60;0
2;144900; @sergienrica;una mossa di una bassezza infinita. indecente. fuori la becera politica da tiktok!;30;0
2;144900; @ertraffikspingeichili;NO POLITICA SU TIKTOK;60;0
2;144900; @uccidetemigrazie;Fare propaganda politica in un app per ragazzini  ✅😳😳 sempre sul pezzo complimenti;49;0
2;144900; @alessia.miceliih;Un paese civile funziona senza il razzismo;42;0
2;144900; @gia.nnex;madoooo  c’era 1 social senza salvini  ora nemmeno quello ci è rimasto. (comunque troppo bello vedere come nessuno su tiktok lo voglia);39;0
2;144900; @user92348975;sbagli. se scappi dalla guerra dalla morte per salvare i tuoi bambini  in cerca di aiuto  non badi ai documenti  anche perché non li avrai.;13;0
2;144900; @daisy4seokjinie;felice di poterti insultare anche qui;146;0
2;144900; @edoardo.maturo;Un social popolato da giovani che sta respingendo Salvini  forse abbiamo ancora una speranza. Forza ragazzi!!;6;0
2;144900; @mary_viola_77;Senatore la politica la si fa in Senato e non sui social;20;0
2;144900; @serepisastark;Ti insulteremo anche qui;47;0
2;144900; @xdarkninja;grande salvini;5;1
2;144900; @raffaellagu;Simo controllati sempre  anche nel nostro tempo libero  di svago...La politica qui no!..Al di là dell' ideologia individuale;20;0
2;144900; @elena02444;non puoi stare qua ci sono molti bambini e tu insegni solo ad essere razzista via via;10;0
2;144900; @lyledmuc;Ti aspettiamo su Tumblr se hai il coraggio. Ti insulterebbero da tutto il mondo.;31;0
2;144900; @ciao_gio04;vorrei vederti te su un barcone a datore la fame e il freddo per poi essere rimandato in Italia!!!!;21;0
2;144900; @luigiloporto;Guarda quanti profili falsi commentano pro lega;25;0
3;454900; @chiamatemikim;Nelle regole di tiktok c’é scritto espressamente NO POLITICA  quindi non é il posto per te mister 😔🤘🏻;3891;0
3;454900; @dolceroxy76;Non siamo al circo vattene 🤡🤡🤡🤡;2771;0
3;454900; @stellabellingeri;Tiktok ERA un posto così bello. Mi scusi signor Salvini ma non credo che questo sia il luogo adatto a lei.;2336;0
3;454900; @francioposa;“Fra dovresti studiare” io che trovo qualsiasi scusa per non farlo;1171;0
3;454900; @laragazzacheamaleggere;non sapevo che tik tok fosse un circo🤡;945;0
3;454900; @stoproby;Ah ecco perché stanno facendo le deforestazioni allora;703;0
3;454900; @marcoruggie;Povera Italia... tra te e la meloni siamo messi davvero bene! 🤦🏻‍♂;701;0
3;454900; @eh.boh_;FRA NON È CHE SE NON SEI PIÙ MINISTRO DEGLI INTERNI ALLORA DEVI FARE ALBERTO ANGELA TAROCCO;227;0
3;454900; @girl_gamer890;Ma su tik tok non c'era scritto espressamente NO POLITICA?;463;0
