Continent,Country ,Place,Typology,Main cluster,Coordinates,Visual language 2000,Visual language 2001,Visual language 2002,Visual language 2003,Visual language 2004,Visual language 2005,Visual language 2006,Visual language 2007,Visual language 2008,Visual language 2009,Visual language 2010,Visual language 2011,Visual language 2012,Visual language 2013,Visual language 2014,Visual language 2015,Visual language 2016,Visual language 2017,Visual language 2018,
Europe,Greece,Kephalonia International Airport,airport,facility,38°07′10.0″N 20°30′03.3″E,no photo,no photo,no photo,not censored,no photo,covered,no photo,no photo,no photo,covered,no photo,no photo,no photo,covered,no photo,not censored,not censored,covered,no data,
Europe,Greece,Thessaloniki Airport Makedonia,airport,facility,40°31′14″N 22°58′28″E,no photo,no photo,no photo,covered,no photo,no photo,no photo,no photo,not censored,not censored,not censored,not censored,covered,not censored,not censored,not censored,not censored,not censored/mixed techniques,no photo,
Europe,Greece,"Unknown area near the airport, Kos, Greece",airport,facility,"36°49'23.8""N 27°02'54.0""E",no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,no photo,no photo,not censored,no photo,not censored,no photo,not censored,not censored,not censored,not censored,
Asia,Japan,Minami Torishima,airport,facility,"24°17'14.8""N 153°58'33.0""E",covered,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,not censored,no photo,no photo,no photo,no photo,no photo,
Europe,Spain,Malaga airport,airport,facility,"36°40'36.3""N 4°29'29.3""W",not censored,no photo,covered,not censored,covered,not censored,not censored,not censored,no photo,not censored,not censored,not censored,not censored/covered/covered,not censored,not censored,not censored,not censored,not censored,covered,
America,US,Buffalo Niagara international airport,airport,facility,"42°56'21.8""N 78°43'44.3""W",no photo,no photo,not censored,no photo,not censored,blurred,not censored,no photo,no photo,not censored/covered,no photo,not censored,covered,not censored,not censored,not censored,not censored,not censored,not censored,
America,US,Syracuse Hancock international airport,airport,facility,"43°06'50.8""N 76°06'36.8""W",no photo,no photo,no photo,not censored,no photo,not censored,not censored,no photo,not censored,not censored,no photo,not censored,no photo,no photo,no photo,not censored,no photo,not censored,no photo,
America,US,Mobil oil corporation,facility,facility,"42.862975,-78.830231 ",no photo,no photo,not censored,no photo,not censored,blurred,blurred,not censored,no photo,not censored,no photo,not censored,no photo,no photo,not censored,not censored,not censored,not censored,not censored,
Europe,Spain,A greenhouse in El Ejido,Greenhouse,facility,"36°44'50.8""N 2°43'05.8""W",no photo,no photo,no photo,low quality,covered,not censored,no photo,not censored/blurred,no photo,no photo,no photo,no photo,no photo,not censored,no photo,no photo,not censored,blurred,no photo,
America,US,Cornell University ,Heat and Power Plant,facility,42°26′32.69″N 76°28′26.04″W,no photo,no photo,no photo,no photo,no photo,no photo,low quality,blurred,low quality,not censored,no photo,low quality,no photo,not censored,no photo,no photo,not censored,no photo,no photo,
America,US,Knolls Atomic Power Laboratory and GE Global Research Center,KAPL and GE energy structure,facility,"42°49'37.6""N 73°52'41.1""W",no photo,not censored,no photo,not censored,not censored/ blurred,no photo,not censored,blurred,no photo,not censored,no photo,not censored,no photo,not censored,no photo,not censored,no photo,no photo,not censored,
America,US,Keowee Dam,lake,facility,"34°48'00.0""N 82°53'12.0""W",no photo,no photo,no photo,no photo,blurred,covered,covered,no photo,not censored,no photo,no photo,not censored,not censored,no photo,low quality,not censored,no photo,not censored,not censored,
Europe,Hungary,Szazhalombatta,oil refinery,facility,"47.275556,18.901111",no photo,no photo,no photo,no photo,mixed quality,no photo,no photo,no photo,not censored,covered,not censored,not censored,not censored,covered,not censored,not censored,no photo,not censored,not censored,
Europe,Hungary,Martonvasar Substation,power plant,facility,"47°16'32.0""N 18°54'04.0""E",no photo,no photo,no photo,no photo,no photo,no photo,no photo,no photo,not censored,not censored/covered,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,not censored,
