Place's quotes;Continent;Country;Places;Typology;Cluster ;visual language
3;Europe;Spain;Patio de los Naranjos;square;urban area;blur
1;Antarctica;Antarctica;14-Mile Blur;glacier ;natural area;blur
5;America;US;2207 Seymour Avenue Cleveland;house of kidnapped;urban area;blur
2;Europe;Greece;Unknown area near Emporio Santorini;airport;facility;pixel
1;Europe;Greece;Unknown area near the airport Kos;airport;facility;pixel
1;Europe;Greece;Andravida Air Base;military air base ;military area;pixel
7;America;US;Area 51 Nevada Desert;air Force base;military area;covered
2;Europe;France;AREVA La Hague;nuclear fuel reprocessing facility;nuclear site;pixel
1;Asia;Taiwan;Army Logistics Command Headquarters Building;military logistics headquarters;military area;pixel
1;America;US;Auburn Correctional Facility;prison;facility;unknown
2;Europe;Greece;Ayioi Anargyroi Military Base Athens;military base ;military area;pixel
7;Asia;Iraq;Babylon-Razzaza lake;lake;natural area;blur
3;America;Canada;Baker lake;lake;natural area;covered
2;Europe;France;Baumettes Penitentiary;prison;facility;pixel
1;Europe;Belgium;Belgian Pipeline Organisation;corporate office;military area;pixel
1;Asia;India;Bhabha Atomic Research Center;nuclear research site ;nuclear site;unknown
1;America;US;Buffalo Niagara International Airport;airport;facility;bloocked zoom/covered
1;America;US;Camp Buckner Military Academy;militar academy;military area;covered
1;Asia;Afghanistan;Camp Shorabak;Unknown military area;military area;low resolution
1;Europe;France;Prison of Saint-Quentin-Fallavier;prison;facility;pixel
2;Europe;Russia;Chekov city;city;urban area;blur
1;Europe;France;Cherbourg Naval Base;military naval base ;military area;pixel
2;America;US;Cornell University Combined Heat and Power Plant;Heat and Power plant;facility;covered
1;Europe;Portugal;NATO Ammo Depot;NATO base;military area;low resolution
3;Europe;Poland;Dowództwo Wojsk Specjalnych;special force base;military area;blur
2;America;US;Elmira Correctional Facility;prison;facility;blur
1;Europe;Belgium;Erguemin;Belgium-Netherlands Naval Mine Warfare School;military area;pixel
5;Europe;Denmark;The Faroe Islands;island;island;covered/white area
1;Europe;Netherlands;Former House of Mandemakers;private house ;facility;covered
1;America;US;Fort Drum Military Base;Military base ;military area;low resolution
1;Europe;Belgium;Fort Eben-Emael;fortification;military area;pixel
2;Europe;France;Cadarache Center;Office of Atomic Energy ;facility;pixel
1;Europe;Slovakia;Gabčíkovo Power Plant;power plant;facility;covered--->blocked zoom
1;Europe;Spain;Girona;city;urban area;covered
2;America;US;HAARP Site;HAARP Research Facility;military area;low resolution
2;Europe;Netherlands;Huis ten Bosch palace;royal palace;governor building;blur
1;Europe;France;HWU transmitter;radio transmitter;military area;pixel
1;America;US;Indian Point Nuclear Power Plant;nuclear power plant;nuclear site;covered
2;Europe;Germany;Ingolstadt Manching Airport;airport;facility;unknown
3;Asia;Israel;Israel;country;urban area;low resolution
