Name,Link to their website,IG account,FB account,TW account,Link (main website),Date of publication (website),Typology (website),Google Rank (website),on 06/11/19,
Suspira,https://www.suspiramagazine.com/,https://www.instagram.com/suspiramagazine/?hl=it,https://www.facebook.com/suspiramagazine/,https://twitter.com/suspiramagazine?lang=en-gb,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
PC Erotic,/,https://www.instagram.com/pcerotic/?hl=it,/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Baron,https://www.baronmagazine.com/,https://www.instagram.com/baron_magazine/?hl=it,https://www.facebook.com/baronmagazines/,https://twitter.com/baron_magazine?lang=en,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Baroness,https://www.baronmagazine.com/,https://www.instagram.com/baroness_magazine/?hl=it,https://www.facebook.com/baronessmagazine/,https://twitter.com/baron_magazine?lang=en,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Matto,https://www.mattoproject.com/,https://www.instagram.com/matto.studio/,https://www.facebook.com/mattomagazine/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Fluffer Everyday,https://fluffereveryday.com/,https://www.instagram.com/fluffereveryday/?hl=it,https://www.facebook.com/fluffer.everyday/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Anonymous Sex Journal,http://www.theanonymoussexjournal.com/,/,/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Phile,https://philemagazine.com/,https://www.instagram.com/phile_magazine/,/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Math,https://www.math-mag.com/,https://www.instagram.com/mathmag.nyc/,/,https://twitter.com/math_magazine,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Extra Extra,https://www.extraextramagazine.com/,https://www.instagram.com/extraextramagazine/,https://www.facebook.com/extraextramagazine/,/,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Blink,https://www.blinkreflex.com/,https://www.instagram.com/blinkmag/,https://www.facebook.com/BLINKmagazine/,https://twitter.com/blinkreflex,https://www.stackmagazines.com/erotic/best-independent-erotic-magazines/,Feb 2019,E-commerce Blog,1,,
Journal Safar,https://www.journalsafar.com/,https://www.instagram.com/journalsafar/?igshid=o14djyhpo5tg,https://www.facebook.com/journalsafar/,https://twitter.com/JournalSafar,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Mal,https://maljournal.com/,https://www.instagram.com/mal_journal/?hl=it,https://www.facebook.com/journalmal,https://twitter.com/mal_journal,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Leste,http://www.lestemagazine.com/,https://www.instagram.com/lestemagazine/?hl=it,https://www.facebook.com/lestemagazine/,/,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Cold Cuts,https://www.coldcutsonline.com/,https://www.instagram.com/coldcutsmagazine/,https://www.facebook.com/coldcutsmagazine/,/,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Hot Sauce,https://www.hotsauce.sexy/,https://www.instagram.com/hotsauce.sexy/,/,/,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Odiseo,https://www.folchstudio.com/odiseo/,https://www.instagram.com/odiseomagazine/?hl=it,/,/,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Lyra,https://www.lyramagazine.co.uk/,https://www.instagram.com/lyra.magazine/,https://www.facebook.com/LYRAMAG/,https://twitter.com/Lyra_Magazine,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Ladybeard,http://www.ladybeardmagazine.co.uk/,https://www.instagram.com/ladybeardmag/,https://www.facebook.com/Ladybeardmagazine,https://twitter.com/ladybeardmag,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Talc,/,https://www.instagram.com/talcmagazine/,https://www.facebook.com/TALCmagazine/,https://twitter.com/talcmagazine?lang=it,https://www.stackmagazines.com/category/erotic/,oct 2019,E-commerce Blog,2,,
Summum,http://www.summummag.com/,https://www.instagram.com/summummagazine/?hl=fr-ca,https://www.facebook.com/summummag/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Club,http://www.clubmagazine.com/t/03/?nats=MjAwMzcwLjYyLjQwLjE0MC4wLjAuMC4wLjA,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Gallery,http://www.gallerymagazine.com/t/01/?nats=MTAwMDEwMDAuMzcuMjAuMjAuMC4wLjAuMC4w,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Genesis,http://www.genesismagazine.com/t/04/?nats=MjAwMzcwLjYyLjIuMTM3LjAuMC4wLjAuMA,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Gent,http://www.gentonline.com/t/04/?nats=MjAwMzcwLjYyLjM2LjEyNS4xLjAuMC4wLjA#enter,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
High Society,http://www.highsociety.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Hustler,https://hustlermagazine.com/#intro,https://www.instagram.com/hustlermag_official/?hl=it,https://www.facebook.com/Hustler-Magazine-114849298554104/,https://twitter.com/hustlermag?lang=en,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Perfect 10,http://www.perfect10.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Playboy,https://www.playboy.com/,https://www.instagram.com/playboy/?hl=fr-ca,https://www.facebook.com/playboy,https://twitter.com/playboy,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
Score,https://www.scoreland.com/,/,/,/,https://en.wikipedia.org/wiki/List_of_pornographic_magazines,27 oct 2019,Encyclopedia,3,,
