Result number,Number of mentions,Name,Work,What,Type of image,Part ,Kind of censorship,Reason,Reason (macrogroup),Platform,Year,Link,Notes,,,,,,,,,
1,4,Petra Collins,Artist,Body,Semi-clothed (bathing suit bottom),Partial body (from waist to knees),Removed account,Body hair (pubic),BODY HAIR,Instagram,2013,http://www.petracollins.com/censorship-and-the-female-body/ ,,,,,,,,,,
2,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.villainesse.com/girl-power/stop-censoring-women-and-their-bodies,,,,,,,,,,
3,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.huffpost.com/entry/artists-respond-female-body-censorship-online_n_7042926,,,,,,,,,,
4,2,Chrissy Teigen,Model,Body,Semi-clothed (underwear bottom and shoes),All body,Removed image  ,Nudity (nipple),EXPOSED BODY,Instagram,06/2015,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,2,Sticks and Stones,Online Magazine,Body,Clothed (swimwear),All body,Suspended account,Body hair (pubic),BODY HAIR,Instagram,2015,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,1,Chelsea Handler,Comedian,Body,"Semi-clothed (hat, trousers and shoes)",All body,Removed image  ,Nudity (breasts),EXPOSED BODY,Instagram,10/2014,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,1,Samm Newman,Instagram user,Body,Semi-clothed (underwear),Partial body (from head to thigs),Removed image  ,Body type (fat),BODY TYPE,Instagram,07/2014,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,1,Rihanna,Singer,Body,Semi-clothed (hat and underwear bottom),Partial body (from head to knees),Removed image  ,Nudity (breasts),EXPOSED BODY,Instagram,05/2014,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
4,2,Meghan Tonjes,Blogger,Body,Semi-clothed (top and underwear bottom),Partial body (bottom),Removed image  ,Body type (fat),BODY TYPE,Instagram,05/2014,https://mashable.com/2015/07/05/instagram-banned-photos-women/?europe=true,,,,,,,,,,
5,4,Petra Collins,Artist,Body,Semi-clothed (bathing suit bottom),Partial body (from waist to knees),Removed account,Body hair (pubic),BODY HAIR,Instagram,2013,https://www.artsy.net/article/artsy-editorial-photographs-womens-bodies-instagram-censored,,,,,,,,,,
5,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.artsy.net/article/artsy-editorial-photographs-womens-bodies-instagram-censored,,,,,,,,,,
5,1,Amalia Ulman,Artist,Body,Semi-clothed (underwear bottom/topless),All body,Removed image,Nudity (breasts),EXPOSED BODY,Instagram,2015,https://www.artsy.net/article/artsy-editorial-photographs-womens-bodies-instagram-censored,,,,,,,,,,
5,1,@lucylippard (instagram account),Instagram user,Body,Clothed (showing underwear bottom),Partial body (from head to knees),Removed image,Gesture (lifting dress),EXPOSED BODY,Instagram,/,https://www.artsy.net/article/artsy-editorial-photographs-womens-bodies-instagram-censored,,,,,,,,,,
5,1,@isaackariuki.jpg (instagram account),Instagram user,Body,Clothed (hijab),Portrait,Removed image,/,/,Instagram,/,https://www.artsy.net/article/artsy-editorial-photographs-womens-bodies-instagram-censored,,,,,,,,,,
6,,,,,,,,,,,,https://www.shutterstock.com/it/search/censored%20nude,Not used (shutterstock),,,,,,,,,
7,,,,,,,,,,,,https://www.shutterstock.com/search/censored+woman,Not used (shutterstock),,,,,,,,,
8,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.bustle.com/articles/72485-5-times-instagram-censored-womens-bodies-and-then-apologized-for-it,,,,,,,,,,
8,2,Sticks and Stones ,Online magazine,Body,Clothed (swimwear),All body,Suspended account,Body hair (pubic),BODY HAIR,Instagram,2015,https://www.bustle.com/articles/72485-5-times-instagram-censored-womens-bodies-and-then-apologized-for-it,,,,,,,,,,
9,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.theguardian.com/books/2017/apr/10/pics-or-it-didnt-happen-reclaiming-instagrams-censored-art,,,,,,,,,,
9,4,Petra Collins,Artist,Body,Semi-clothed (bathing suit bottom),Partial body (from waist to knees),Removed account,Body hair (pubic),BODY HAIR,Instagram,2013,https://www.theguardian.com/books/2017/apr/10/pics-or-it-didnt-happen-reclaiming-instagrams-censored-art,,,,,,,,,,
10,,,,,,,,,,,,http://www.thecourieronline.co.uk/the-female-body-is-not-to-be-censored-interview-with-artist-louise-brown/,Not used (not online censorship),,,,,,,,,
11,,,,,,,,,,,,https://www.art-critique.com/en/2019/09/palazzo-strozzi-recently-censored-by-instagram/,Not used (not photography),,,,,,,,,
12,,,,,,,,,,,,https://www.manuelyavila.com/censored-bodies,Not used (project on censorship),,,,,,,,,
13,1,Celeste Ortiz,Photographer,Body,Nude,Partial body (from head to breasts),Removed image,Nudity (nipple),EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
13,1,Jannica Honey,Photographer,Body,Nude,All body,Removed image,Nudity (nipple) and child,EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
13,1,Jordanna Kalman,Artist,Body,Nude,Partial body (from head to waist),Removed image,Nudity (breasts),EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
13,1,Juliana Maar,Photographer,Body,Nude,Partial body (from head to breasts),Removed image,Nudity (nipple),EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
13,1,Juliana Maar,Photographer,Body,Nude,Partial body (from head to knees),Removed image,Nudity ,EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
13,1,Yatender,Photographer,Body,Nude,Partial body (legs),Removed image,Nudity (private parts),EXPOSED BODY,Instagram,/,https://cphmag.com/ig-censorship/,,,,,,,,,,
14,,,,,,,,,,,,http://www.citypages.com/arts/body-positive-art-exhibit-censored-for-female-nudity/474376813,Not used (not online censorship),,,,,,,,,
15,9,Rupi Kaur,Poet,Body,Clothed (sweats and T-shirt),All body,Removed image (twice),Menstruation,MENSTRUATION,Instagram,03/2015,https://www.washingtonpost.com/news/the-intersect/wp/2015/03/27/why-did-instagram-censor-this-photo-of-a-fully-clothed-woman-on-her-period/,,,,,,,,,,
16,2,Meghan Tonjes,Blogger,Body,Semi-clothed (top and underwear bottom),Partial body (bottom),Removed image,Body type (fat),BODY TYPE,Instagram,05/2014,https://www.flare.com/news/instagram-censorship-fat-plus-size/,,,,,,,,,,
17,,,,,,,,,,,,https://books.google.it/books?id=HTAvCgAAQBAJ&pg=PA129&lpg=PA129&dq=censored+female+body&source=bl&ots=UUir375SpX&sig=ACfU3U3Frah9adxc3QAC9I57ZiK0zaEPUQ&hl=it&sa=X&ved=2ahUKEwiawKa49NflAhWDGewKHUBQD-k4ChDoATAGegQIBxAB#v=onepage&q=censored%20female%20body&f=false,Not used (not online censorship),,,,,,,,,
18,,,,,,,,,,,,https://books.google.it/books?id=buURrTpon5wC&pg=PA160&lpg=PA160&dq=censored+female+body&source=bl&ots=PYoixC2lpf&sig=ACfU3U0quVCbGEuV0H1jIo8AGGC_8hTz3A&hl=it&sa=X&ved=2ahUKEwiawKa49NflAhWDGewKHUBQD-k4ChDoATAIegQICRAB#v=onepage&q=censored%20female%20body&f=false,Not used (not online censorship),,,,,,,,,
19,1,Celeste Liddle,Activist,Body,Semi-clothed ,Partial body (from head to breasts),Removed image,Nudity (breasts),EXPOSED BODY,Facebook,/,https://www.smh.com.au/technology/censored-or-not-which-images-failed--and-passed--the-facebook-test-20160419-goa5mt.html,,,,,,,,,,
