Artwork,Artist,Contemporary Art,Artwork date,Censorship year,Social,Kind of censorship,Link,Date of publication,Typology,Google Rank,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Ema (nude on a staircase),Gerhard Richter,Yes,1966,2012,Facebook,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Amor Vincit Omnia,Caravaggio,No,1602-1603,2016,Facebook,Suspended account,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Imogen and Twinka,Judy Dater,Yes,1974,2017,Instagram,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Triangles,Imogen Cunningham,No,1928,2017,Instagram,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Sunbath (Alta on the Beach),Imogen Cunningham,No,1925,2017,Instagram,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Venus of Willendorf,Unknown,No,23.000-19.000 a. C.,2018,Facebook,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Anders Zorn,No,Unknown,Unknown,Facebook,Removed post,https://www.sartle.com/blog/post/f-censorship-social-medias-hold-on-nudity-in-art,24 may 2018,Fine Art Public Benefit Corporation,1,,,,,,,,,,,,,,,,,,,,,,
