Announcement title;Company name;Country;Responsablities;Required languages;Skills;Qualifications;Experiences;Working hours;Field of action
Social Media Content Moderator Junior Analyst;Accenture;Costa Rica;"Delivery efficiency
Active project's management
Co-working
Content revision";"Portuguese
English";"Problem-solving
Detail orientation
Knowledge of the internet and social media
Propositivity
Windows skills
Resilience
Organization
Collaboration";None;Medium;Full time;Tecnology 
Arbic content moderator;Cognitanz;Poland;"Content revision
User revision
 User relationship
 Documentation & research
 Time flexibility";No data;"Knowledge of the internet and social media
Windows skills
Confidence to highly sensitive and adult explicit content 
Communication skills
Resilience
Analysis

";"Arabic language
English language";None;Full time;Tecnology 
Content moderator;OLX Group;India;"Content revision
 Delivery efficiency
 User relationship";No data;"Analysis
Propositivity
Collaboration";Bachelor’s degree;Medium;Flexible (5 out of 9);Online services
Social Media Content Moderator(m/f/d) - Serbian/Croatian;Bertelsmann SE & Co. KGaA;Germany;"Content revision
 Active project's management
 Delivery efficiency";"Serbian
Croatian
English";"Awareness of the linguistic, cultural and political situation
Resilience";None;Minimum;Full time;Media content
Online Content Moderator with German - Umzug nach Qormi, Malta;Besedo;Germany;Content revision;"German
English";"Detail orientation
Communication skills
Resilience
Tech savvy";None;Minimum;Full time;Brand Protection
Content Moderator with Dutch;Adecco;Spain;Content revision;"French
German
Duch
English plus";Tech savvy;None;Long;Full time;Recruitment
Social Media Specialist - Content Moderator;Teleperformance;United States;"Content revision
 Delivery efficiency
 Co-working
 Documentation & research";No data;"Activity on social media
Problem-solving
Communication skills
Resilience
Windows skills
Detail orientation
Empathy";High school diploma;Minimum;Full time;Online services
Content Writer & Moderator;Traveloka;Vietnam;"  Content creation
 Content revision
 Translation
 User relationship
 Documentation & research";No data;"Writing&Reading skills
Activity on social media
Propositivity";Bachelor’s degree;Medium;Full time;Online services
Kannada Content Moderator (Freelancer);Roposo;India;"Content creation
 Content revision";No data;"Writing&Reading skills
Knowledge of the internet and social media
Resilience";Bachelor’s degree;Minimum;Unknown;Online services
English Content Moderator;Open Access BPO;Philippines;Content revision;English;"Detail orientation
Awareness of the linguistic, cultural and political situation
Analysis
Tech savvy";None;Minimum;Full time;Online services
Spanish online content moderator;SpotOn Connections;Greece;Content revision;No data;None;None;Minimum;Full time;Recruitment
French web content moderator at Majorel;Confidential;Spain;"Content revision
 Documentation & research";"French
English";No data;High school diploma;Medium;Full time;Recruitment
Content Moderator / Mexican Market;Babel Profiles;Spain;Content revision;No data;"Knowledge of the internet and social media
Awareness of the linguistic, cultural and political situation
Detail orientation
Resilience
Empathy";None;Minimum;Full time;Recruitment
Content Moderator - Korean (Based in Manila);Booking.com;Philippines;"Content revision
 Co-working";"Spanish
Korean
Indonesian
Thai
Malay
Japanese
English";"Propositivity
Resilience
Analysis";None;Minimum;Full time;Travel 
Content Moderator (język czeski);Silverhand;Poland;"Content revision
 User relationship";"English
Czech";Resilience;None;Minimum;Full time;Recruitment
Content moderator;TridIndia IT Translation Services Pvt.Ltd;India;"Content revision
 Co-working
 User relationship
 Content creation
";"Hindi
English";"Resilience
Organization
Propositivity
Detail orientation
Empathy
Collaboration
Multitasking";None;Medium;Full time;Media content
Content Moderator with German;CEE Experts by L.M. International Group;Poland;"Content revision
 Documentation & research
 Content creation";"German
English";"Awareness of the linguistic, cultural and political situation
Problem-solving
Communication skills
Resilience";None;Minimum;Full time;Recruitment
Bilingual Digital Content Moderator;TuskUs;United States;"Content revision
 Documentation & research";"Spanish
English";"Communication skills
Empathy
Awareness of the linguistic, cultural and political situation";High school diploma;Medium;Full time;Online services
Content Moderator;iStaff Solutions Inc.;Philippines;"Content revision
 User revision";No data;"Tech savvy
Activity on social media
Knowledge of the internet and social media
Creativity
Detail orientation
Critical thinking";None;Minimum;Full time;Media content
Spanish (Mexican) Speaking Content Moderator (m/f/d);Competence Call Center;Spain;"Content revision
 User revision";"Mexican 
English";"Communication skills
Empathy
Awareness of the linguistic, cultural and political situation
Resilience";None;Medium;Full time;Online services
Social Media Content Moderator (m/f/x);timecon GmbH & Co. KG;Germany;Content revision;German;"Awareness of the linguistic, cultural and political situation
Resilience";None;Minimum;Full time;Call center
Content moderator;Enshored;Philippines;Unknown;English;None;High school diploma;Minimum;Full time;Call center
German Speaking Online Content Moderator;Europe Language Jobs / Jobs abroad for language speakers;Malta;"Content revision
";"German
English";"Tech savvy
Detail orientation
Collaboration";None;Minimum;Full time;Recruitment
Dutch fluent Content Moderator;Bespoke Recruitment Limited;Ireland;"User revision
 Content revision
 Documentation & research
 Active project's management";"Dutch
English";"Knowledge of the internet and social media
Detail orientation
Multitasking
Windows skills
Problem-solving
Resilience";None;Minimum;Full time;Recruitment
Moderator and Content Creator for Peer Tutor;NCFE;United Kingdom;"Content revision
 Active project's management";No data;Tech savvy;Bachelor’s degree;Minimum;Part time;Education
