Name ,Description,Genre,IG account,Username,Followers,Posts taken (last),Auto censored photos ,Percentage,from il 10/11 to 20/11,,,,,,,,,,,,,,,,,
Suspira,Suspira dissects sinister subjects through a feminine lens. Each themed issue explores an archetype of fear and fascination.,Independent,https://www.instagram.com/suspiramagazine/?hl=it,suspiramagazine,"6,412.00",200.00,2.00,1.00%,,,Suggested in Instagram -->,from this account,,,,,,,,,,,,,,
Sabat,"Sabat Magazine fuses Witchcraft and feminism, ancient archetypes and instant art.",Independent,https://www.instagram.com/sabatmagazine/,"sabatmagazine
sabatmagazine","58,700.00",200.00,1.00,0.50%,,,,,,,,,,,,,,,,,,
Polyester,"Polyester is a self published, intersectional feminist fashion and culture publication aiming to bridge the gap of URL cyberfeminism with the IRL world.",Independent,https://www.instagram.com/polyesterzine/,"polyesterzine
polyesterzine


polyesterzine","94,500.00",200.00,8.00,4%,,,,,,,,,,,,,,,,,,
Look at us,Each issue is a sartorial documentation of underground scenes from LA to the London.,,https://www.instagram.com/look.at.us.zine/,look.at.us.zine,"1,370.00",71.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
PC Erotic,The future of sex you never wanted!,,https://www.instagram.com/pcerotic/?hl=it,pcerotic,"5,543.00",140.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Baron,/,Independent,https://www.instagram.com/baron_magazine/?hl=it,baron_magazine,"30,300.00",200.00,24.00,12.00%,,,,,,,,,,,,,,,,,,
Pop,"A new era of POP Magazine. Change is good, change is inevitable, change is NOW.",Fashion,https://www.instagram.com/thepopmag/,thepopmag,"142,000.00",200.00,2.00,1.00%,,,,,,,,,,,,,,,,,,
Le Dauphin,Glamour Is Terror,Fashion,https://www.instagram.com/le__dauphin/,le__dauphin,"46,200.00",200.00,5.00,2.50%,,,,,,,,,,,,,,,,,,
Self Service,Paris-based fashion and culture biannual.,Fashion,https://www.instagram.com/selfservicemagazine/,selfservicemagazine,"247,000.00",200.00,6.00,3.00%,,,,,,,,,,,,,,,,,,
Nasty Magazine,The dusky side of Arts and Fashion.,Fashion,https://www.instagram.com/nastymagazine/,nastymagazine,"166,000.00",200.00,7.00,3.50%,,,,,,,,,,,,,,,,,,
Barnonness,/,Independent,https://www.instagram.com/baroness_magazine/?hl=it,baroness_magazine,"14,000.00",200.00,17.00,8.50%,,,,,,,,,,,,,,,,,,
True Photo Journal,"True commissions photographers to experiment, create or revisit. We curate and celebrate work that’s authentic and insightful.",Photography,https://www.instagram.com/truephotojournal/,truephotojournal,"15,800.00",200.00,7.00,3.50%,,,,,,,,,,,,,,,,,,
Matto,/,,https://www.instagram.com/matto.studio/,matto.studio,"1,063.00",49.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Ossì Fanzine,"In each issue, a story from worlds that we hope really exist and the sexy photos taken by someone you would like to know about you.",Independent,https://www.instagram.com/ossi_fanzine/,ossi_fanzine,"1,788.00",16.00,6.00,37.50%,,,,,,,,,,,,,,,,,,
Cavie Project,indipendent publishing project based in Milan,Independent,https://www.instagram.com/cavie_project/,cavie_project,598.00,48.00,5.00,10.40%,,,,,,,,,,,,,,,,,,
Fluffer Everyday,is a sexy magazine presenting you fantasies that become obsessions and everyday stuff that get you hard.,,https://www.instagram.com/fluffereveryday/?hl=it,fluffereveryday,"5,281.00",200.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Phile,The International Journal of Desire and Curiosity.,Independent,https://www.instagram.com/phile_magazine/,phile_magazine,"4,111.00",200.00,4.00,2.00%,,,,,,,,,,,,,,,,,,
Math,Pleasure for everyone!,Independent,https://www.instagram.com/mathmag.nyc/,mathmag.nyc,"3,993.00",200.00,3.00,1.50%,,,,,,,,,,,,,,,,,,
Extra Extra,"Sensual modern life, curiosity and exaltation come together.",,https://www.instagram.com/extraextramagazine/,extraextramagazine,"1,678.00",115.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Blink,Features the latest exhibitions and artists in the international spotlight since 2010.,,https://www.instagram.com/blinkmag/,blinkmag,"9,750.00",200.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Journal Safar,"Flirt with, flee from, and fall for graphic design and visual culture",,https://www.instagram.com/journalsafar/?igshid=o14djyhpo5tg,journalsafar,"3,955.00",122.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Mal Journal,Journal of sexuality and erotics,,https://www.instagram.com/mal_journal/?hl=it,mal_journal,"1,292.00",42.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
