Magazine Name,Photo Name,Visual Language,,,,
Another Filthy Magazine,01_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,02_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,03_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,04_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,05_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,06_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,07_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,08_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,09_Another Filthy Magazine,Sketch,,,,
Another Filthy Magazine,10_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,11_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,12_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,13_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,14_Another Filthy Magazine,Emoji,,,,
Another Filthy Magazine,15_Another Filthy Magazine,Sketch,,,,
Baron,01_Baron,Pixel,,,,
Baron,02_Baron,Pixel,,,,
Baron,03 1_Baron,Pixel,,,,
Baron,03 2_Baron,Pixel,,,,
Baron,03 3_Baron,Pixel,,,,
Baron,04_Baron,Pixel,,,,
Baron,04_Baron,Pixel,,,,
Baron,05_Baron,Pixel,,,,
Baron,06_Baron,Pixel,,,,
Baron,07_Baron,Pixel,,,,
Baron,08_Baron,Pixel,,,,
Baron,09_Baron,Pixel,,,,
Baron,10_Baron,Pixel,,,,
Baron,11_Baron,Pixel,,,,
Baron,12_Baron,Pixel,,,,
Baron,13_Baron,Pixel,,,,
Baron,14_Baron,Pixel,,,,
Baron,15 1_Baron,Pixel,,,,
Baron,15 2_Baron,Pixel,,,,
Baron,16_Baron,Pixel,,,,
Baron,17_Baron,Pixel,,,,
Baron,18_Baron,Pixel,,,,
Baron,19_Baron,Pixel,,,,
Baron,20_Baron,Pixel,,,,
Baron,21_Baron,Pixel,,,,
Baroness,01_Baroness,Pixel,,,,
Baroness,02_Baroness,Pixel,,,,
Baroness,03_Baroness,Pixel,,,,
Baroness,04_Baroness,Pixel,,,,
Baroness,05_Baroness,Pixel,,,,
Baroness,06_Baroness,Pixel,,,,
Baroness,07_Baroness,Pixel,,,,
Baroness,08_Baroness,Pixel,,,,
Baroness,09_Baroness,Pixel,,,,
Baroness,10_Baroness,Pixel,,,,
Baroness,11_Baroness,Pixel,,,,
Baroness,12_Baroness,Pixel,,,,
Baroness,13_Baroness,Pixel,,,,
Baroness,14 1_Baroness,Pixel,,,,
Baroness,14 2_Baroness,Pixel,,,,
Baroness,14 3_Baroness,Pixel,,,,
Baroness,15_Baroness,Pixel,,,,
C-Heads,01_C-Heads,Sketch,,,,
C-Heads,02_C-Heads,Sketch,,,,
C-Heads,03_C-Heads,Sketch,,,,
C-Heads,04_C-Heads,Sketch,,,,
C-Heads,05_C-Heads,Sketch,,,,
C-Heads,06_C-Heads,Sketch,,,,
C-Heads,07_C-Heads,Sketch,,,,
C-Heads,08_C-Heads,Sketch,,,,
C-Heads,09_C-Heads,Sketch,,,,
C-Heads,10_C-Heads,Sketch,,,,
C-Heads,11_C-Heads,Sketch,,,,
C-Heads,12_C-Heads,Sketch,,,,
C-Heads,13_C-Heads,Sketch,,,,
C-Heads,14_C-Heads,Symbols,,,,
C-Heads,15_C-Heads,Sketch,,,,
C-Heads,16_C-Heads,Symbols,,,,
C-Heads,17_C-Heads,Sketch,,,,
C-Heads,18_C-Heads,Sketch,,,,
C-Heads,19_C-Heads,Sketch,,,,
Cavie project,01_Cavie Project,Objects,,,,
Cavie project,02_Cavie Project,Sketch,,,,
Cavie project,03_Cavie Project,Sketch,,,,
Cavie project,04_Cavie Project,Sketch,,,,
Cavie project,05_Cavie Project,Sketch,,,,
Cold cuts,01_Cold Cuts,Symbols,,,,
Cold cuts,02_Cold Cuts,Emoji,,,,
Cold cuts,03_Cold Cuts,Symbols,,,,
Cold cuts,04_Cold Cuts,Symbols,,,,
Hot sauce,01_Hot sauce,Emoji,,,,
Hot sauce,02_Cold Cuts,Emoji,,,,
Hot sauce,03_Cold Cuts,Emoji,,,,
Hot sauce,04_Cold Cuts,Emoji,,,,
Hot sauce,05_Cold Cuts,Emoji,,,,
Hot sauce,06_Cold Cuts,Emoji,,,,
Hot sauce,07_Cold Cuts,Emoji,,,,
Ladybeard,01_Ladybeard,Symbols,,,,
Ladybeard,02_Ladybeard,Geometric shapes,,,,
Ladybeard,03_Ladybeard,Mixed techniques,,,,
Le Dauphin,01_LeDauphin,Geometric shapes,,,,
Le Dauphin,02_LeDauphin,Geometric shapes,,,,
Le Dauphin,03_LeDauphin,Geometric shapes,,,,
Le Dauphin,04_LeDauphin,Geometric shapes,,,,
Le Dauphin,05_LeDauphin,Geometric shapes,,,,
Leste,01_Leste,Emoji,,,,
Leste,02_Leste,Emoji,,,,
Leste,03_Leste,Emoji,,,,
Leste,04_Leste,Emoji,,,,
Leste,05_Leste,Emoji,,,,
Leste,06_Leste,Emoji,,,,
Leste,07_Leste,Emoji,,,,
Leste,08_Leste,Mixed techniques,,,,
Lions,01_Lions,Other,,,,
Lions,02_Lions,Symbols,,,,
Lions,03_Lions,Sketch,,,,
Lions,04_Lions,Sketch,,,,
