Country,Facebook,Tinder,Instagram,LinkedIn,Badoo,Twitter,Bumble,Grindr,Lovoo,POF,Skype,Hinge,Match,Meetic,Netflix,Telegram,Wallapop
App Type,ND,D,ND,ND,D,ND,D,D,D,D,ND,D,D,D,ND,ND,ND
Mexico,2,4,5,9,7,10,,8,,,,,,,,,3
France,,1,,7,5,,,,6,,4,,,3,,,
Switzerland (Italian),2,4,1,7,,,,,,,,,,,9,6,
Nigeria (French),2,3,7,,,,,,9,,6,,,,,,
Portugal,4,3,2,10,7,8,,,,,,,,,,,
Canada,,4,,,,,7,,,5,,9,10,,,,
Netherlands,6,4,7,5,10,,,,,,,,,,,,
Colombia,3,2,1,8,,4,,9,,,,,,,,,
United Kingdom,6,3,,,,,8,,,5,,,,,,,
Nigeria (English),4,5,2,,,,,,,,,,,,,,
Russia,4,6,3,,,,,,,,,,,,,,
Switzerland (German),1,,6,,,,,,,,,,,,,,
Austria,1,,6,,,,,,,,,,,,,,
Greece,1,,9,,,,,,,,,,,,,,
Hungary,7,,10,,,,,,,,,,,,,,
Romania,1,8,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,
