;احتيال الرومانسية;ロマンス詐欺;约会骗局;dating scam;arnaque à l'amour
USA;9;9;9;35;7
Japan;;39;2;;
Australia ;4;3;9;11;1
China;1;;16;2;1
UK;4;2;7;5;2
Canada;1;1;4;3;3
Côte d'Ivoire;;;;;10
Nigeria;2;;;;8
France;;;;;9
Russia;2;1;2;2;
Germany;4;;;1;1
Switzerland;;;;;5
Spain;1;1;1;;1
Kuwait;3;;;;
Argentina;;1;1;;1
Belgium;;;;;2
Brazil;1;;;;1
Israel;1;;;;1
Malaysia;;1;;;2
New Zealand;;;;2;
Northern Ireland;;;;2;
Thailand;;2;;;
Afghanistan;;;;;1
Egypt;1;;;;
Hungary;;;;1;
Italy;;;;1;
Korea;;1;;;
Luxembourg;;;;;1
Norway;;1;;;
Palestine;1;;;;
Portugal;1;;;;
Singapore;;;1;;
Sweden;1;;;;
Syria;;;;;1
Turkey;;;;;1
Venezuela;1;;;;
