Order,App,1 ★,2 ★,3 ★,4 ★,5 ★,(all),average,median,mode
1,Ship,33,18,20,9,20,100,2.65,2,1
2,Tinder,72,9,9,3,7,100,1.64,1,1
3,Bumble,58,19,8,6,9,100,1.89,1,1
4,Hinge,61,14,8,5,12,100,1.93,1,1
5,OkCupid,40,20,5,12,23,100,2.58,2,1
6,CoffeeMeetsBagel,49,13,7,7,24,100,2.44,2,1
7,HER,4,3,10,21,62,100,4.34,4,5
8,muzmatch,49,13,4,5,29,100,2.52,2,1
9,Match,45,8,7,9,31,100,2.73,2,1
10,Zoosk,69,17,10,1,3,100,1.52,1,1
11,Clover,46,5,3,3,43,100,2.92,2,1
12,happn,60,9,11,3,17,100,2.08,1,1
13,Badoo,7,1,1,8,83,100,4.59,5,5
14,PlentyofFish,65,13,6,2,14,100,1.87,1,1
15,eharmony,77,12,5,1,5,100,1.45,1,1
