Order,App,1 ★,2 ★,3 ★,4 ★,5 ★,(all),average,median,mode
1,Dating Around,1,0,0,0,99,100,4.96,5,5
2,Badoo,24,3,5,11,57,100,3.74,5,5
3,OkCupid,33,3,8,20,36,100,3.23,4,5
4,Hinge,26,9,12,19,34,100,3.26,4,5
5,Tinder,45,5,9,9,32,100,2.78,2.5,1
6,Plenty of Fish,33,9,26,10,22,100,2.79,3,1
7,Bumble,31,10,7,13,39,100,3.19,4,5
8,happn,26,2,4,16,52,100,3.66,5,5
9,Hily,11,1,1,13,74,100,4.38,5,5
10,Free Dating App & Flirt Chat,10,1,6,10,73,100,4.35,5,5
11,Tagged,8,4,3,6,79,100,4.44,5,5
12,Heyyo,4,0,0,0,1,5,0.09,1,1
13,Mingle2,9,3,2,11,75,100,4.40,5,5
14,Clover,28,7,5,9,51,100,3.48,5,5
15,Waplog,14,2,6,8,70,100,4.18,5,5
